path,group,extension,line_count,review_flags
server/src/db/migrations/20260314000003_upgrade_assessment_members_to_team_source.js,backend:migration,.js,47,
server/src/db/migrations/20260315070853_add_plain_code_to_invite_codes.js,backend:migration,.js,24,
server/src/db/migrations/20260315090000_add_photo_to_team_members.js,backend:migration,.js,26,
server/src/db/migrations/20260316000001_create_credential_zones.js,backend:migration,.js,48,
server/src/db/migrations/20260316000002_create_credential_style_templates.js,backend:migration,.js,58,
server/src/db/migrations/20260316000003_create_credential_role_templates.js,backend:migration,.js,52,
server/src/db/migrations/20260316000004_create_credential_role_template_zones.js,backend:migration,.js,43,
server/src/db/migrations/20260316000005_create_credential_applications.js,backend:migration,.js,65,
server/src/db/migrations/20260316000006_create_credential_print_batches.js,backend:migration,.js,52,
server/src/db/migrations/20260316000007_create_credential_application_zone_overrides.js,backend:migration,.js,45,
server/src/db/migrations/20260316000008_create_credential_credentials.js,backend:migration,.js,60,
server/src/db/migrations/20260316000009_create_credential_credential_zones.js,backend:migration,.js,46,
server/src/db/migrations/20260316000010_create_credential_issue_logs.js,backend:migration,.js,51,
server/src/db/migrations/20260316000011_create_credential_scan_logs.js,backend:migration,.js,56,
server/src/db/migrations/20260316000012_create_credential_void_reissue_logs.js,backend:migration,.js,70,
server/src/db/migrations/20260317000001_create_credential_access_areas.js,backend:migration,.js,27,
server/src/db/migrations/20260317000002_create_credential_categories.js,backend:migration,.js,27,
server/src/db/migrations/20260317000003_create_credential_category_access_areas.js,backend:migration,.js,20,
server/src/db/migrations/20260317000004_create_credential_requests.js,backend:migration,.js,37,
server/src/db/migrations/20260317000005_create_credential_request_access_areas.js,backend:migration,.js,25,
server/src/db/migrations/20260317000006_create_credential_credential_access_areas.js,backend:migration,.js,25,
server/src/db/migrations/20260317000007_migrate_legacy_credential_data.js,backend:migration,.js,261,
server/src/db/migrations/20260318000001_add_pii_encryption_columns.js,backend:migration,.js,101,console-call
server/src/db/migrations/20260319000001_add_lottery_lists_unique_constraint.js,backend:migration,.js,27,console-call
server/src/db/migrations/20260319000002_widen_lottery_lists_encrypted_columns.js,backend:migration,.js,26,
server/src/db/migrations/20260320000001_create_inventory_tables.js,backend:migration,.js,235,
server/src/db/migrations/20260321000001_create_inventory_preinbound_tables.js,backend:migration,.js,54,
server/src/db/migrations/20260322000001_extend_inventory_tables_for_twin_phase1.js,backend:migration,.js,64,
server/src/db/migrations/20260322000002_create_inventory_twin_tables_phase1.js,backend:migration,.js,180,
server/src/db/migrations/20260323000001_create_reimbursement_tables.js,backend:migration,.js,144,
server/src/db/migrations/20260324000001_create_password_reset_tokens_table.js,backend:migration,.js,19,
server/src/db/migrations/20260325000001_add_user_preferences.js,backend:migration,.js,16,
server/src/db/migrations/20260327000001_create_inventory_3d_projects_table.js,backend:migration,.js,38,
server/src/db/migrations/20260327000002_upgrade_inventory_3d_studio_to_org_workspace.js,backend:migration,.js,86,
server/src/db/migrations/20260327000003_add_invoice_processing_fields.js,backend:migration,.js,36,
server/src/db/migrations/20260328000001_create_preview_files_table.js,backend:migration,.js,112,
